"m","k","alpha","scheme","Cq_true","Cm_true","n_ok_q","n_ok_m","n_fixedpoint","Bias_q","MSE_q","Bias_m","MSE_m","RB_q","RMSE_q","RB_m","RMSE_m","ratio"
25,2,5,"Early",-1.42559545044212,-1.10818137661647,1999,1995,1928,-0.14677121517733,0.266045858430865,-0.245255143936801,0.639410180360212,-0.102954323494658,0.130907310749366,-0.221313179513647,0.520664361178548,3.97735128922942
25,2,5,"Middle",-1.42559545044212,-1.10818137661647,1999,1993,1728,-0.214398139738842,0.412797653721642,-0.359224339661553,0.986020799909135,-0.150391992112735,0.203116226093746,-0.324156629267987,0.802905405109807,3.95293581685215
25,2,5,"Late",-1.42559545044212,-1.10818137661647,2000,1954,2000,-0.307097133759347,0.735311716268897,-0.549968999307931,1.78763535724348,-0.215416746499933,0.361808599115163,-0.496280672922975,1.45565092625679,4.02326238186908
25,2,5,"Equal",-1.42559545044212,-1.10818137661647,2000,1990,2000,-0.261674777072433,0.510002036571078,-0.438034510072758,1.23814674249567,-0.18355472233815,0.250945440301108,-0.395273300305927,1.00820866249524,4.01764089152404
25,2,10,"Early",-3.02286578227976,-3.31710741750902,2000,2000,1795,-0.231414971685578,0.687832668948958,-0.357961363239885,1.69838616452058,-0.0765548285478462,0.0752740130248935,-0.107913708597564,0.154353816578493,2.05055915548766
25,2,10,"Middle",-3.02286578227976,-3.31710741750902,1992,1992,1322,-0.312344217461332,0.971811796085958,-0.479533593319267,2.36653526449508,-0.103327186834531,0.106351700200718,-0.144563781922797,0.215076969992582,2.02231811608715
25,2,10,"Late",-3.02286578227976,-3.31710741750902,2000,1999,2000,-0.49310080372313,1.90527319337283,-0.75936519086993,4.59523830125194,-0.163123618194933,0.208506466250106,-0.228923907275869,0.417627383396712,2.00294691530459
25,2,10,"Equal",-3.02286578227976,-3.31710741750902,2000,2000,1998,-0.41437276924179,1.4256994262681,-0.637815284793891,3.44230005105869,-0.137079446818602,0.156023582518224,-0.192280563911572,0.312845312679072,2.00511555772366
25,5,5,"Early",-1.42559545044212,-1.10818137661647,1999,1983,1727,-0.264121119712056,0.566262381005361,-0.438961947621214,1.32705366032803,-0.185270736961278,0.27862822564933,-0.396110200806175,1.08060454388621,3.87830249920988
25,5,5,"Middle",-1.42559545044212,-1.10818137661647,1994,1965,1127,-0.313868964518842,0.836757506497311,-0.531757938737813,1.91152567702485,-0.220166923527641,0.411724788992996,-0.479847387763716,1.55653338979347,3.78051900542706
25,5,5,"Late",-1.42559545044212,-1.10818137661647,2000,1899,2000,-0.530087847344922,1.75006573414175,-0.96449485110366,4.11253988870542,-0.371836096404859,0.861116200952419,-0.870340245248013,3.34879396628911,3.8888990389279
25,5,5,"Equal",-1.42559545044212,-1.10818137661647,2000,1960,1995,-0.347259247657765,0.962970034544833,-0.597899044051445,2.21834055564683,-0.243588914056979,0.473827400651856,-0.539531755963059,1.80636921925711,3.81229371026673
25,5,10,"Early",-3.02286578227976,-3.31710741750902,2000,2000,1602,-0.350617296397646,1.32935996338129,-0.531668075618535,3.16084902720983,-0.115988377139663,0.145480527046267,-0.160280632701907,0.28726630089805,1.97460310826817
25,5,10,"Middle",-3.02286578227976,-3.31710741750902,1995,1995,731,-0.478477922821462,1.93889648067204,-0.727516988588828,4.49901337590495,-0.158286195049192,0.212186081773411,-0.21932271012651,0.408882208248938,1.92699824998689
25,5,10,"Late",-3.02286578227976,-3.31710741750902,2000,1991,2000,-0.763243937358333,3.94282802361188,-1.17593645988842,8.95242313503759,-0.252490183928284,0.431489374381984,-0.354506596223372,0.813619839460194,1.88560805379166
25,5,10,"Equal",-3.02286578227976,-3.31710741750902,2000,1999,1987,-0.533223859770096,2.44847992284008,-0.807496268051028,5.6525541199124,-0.176396802959592,0.267953119884062,-0.243433861619537,0.513719035194361,1.91719743892751
50,2,5,"Early",-1.42559545044212,-1.10818137661647,2000,1999,1996,-0.0774141767004082,0.12182526796957,-0.128070082908121,0.291489050903804,-0.0543030469663746,0.0599438694715162,-0.115567799288549,0.237356184091207,3.95964068025326
50,2,5,"Middle",-1.42559545044212,-1.10818137661647,2000,2000,1918,-0.0972078956785516,0.154010655010723,-0.160828786789565,0.368007884464107,-0.068187574285822,0.0757806221570679,-0.145128577490277,0.299664590834682,3.9543696304522
50,2,5,"Late",-1.42559545044212,-1.10818137661647,2000,1993,2000,-0.140879023880742,0.260355246535338,-0.240802063256057,0.633445168466752,-0.0988211794847212,0.128107257013685,-0.217294811424535,0.515807120549096,4.02636925161854
50,2,5,"Equal",-1.42559545044212,-1.10818137661647,2000,1998,2000,-0.111917988939325,0.195630922137709,-0.188888374960809,0.4744691651214,-0.0785061350361467,0.0962597879459981,-0.170448970670783,0.386354788123147,4.01366755908389
