"m","k","alpha","scheme","AL_ACI_q","CP_ACI_q","AL_PB_q","CP_PB_q","AL_NB_q","CP_NB_q","AL_ACI_m","CP_ACI_m","AL_PB_m","CP_PB_m","AL_NB_m","CP_NB_m","n_ACI_q","n_boot_q","n_ACI_m","n_boot_m","n_rep"
25,2,5,"Early",1.80221404977578,0.956,1.98851319272827,0.888,2.03799214788288,0.97,2.76839947507894,0.946,3.0036791070662,0.888,3.10568752366732,0.948,500,500,500,500,500
25,2,5,"Middle",2.09148562069485,0.938,2.38780600379058,0.868,2.45918221283283,0.974,3.17777107666624,0.927855711422846,3.57513759310692,0.855711422845691,3.72679205048602,0.953907815631262,500,500,499,499,500
25,2,5,"Late",2.86573095538199,0.94,3.37920425165309,0.846,3.49827131050418,0.966,4.44715207961583,0.936475409836066,5.08649238717079,0.850409836065574,5.34434692522719,0.952868852459016,500,500,488,488,500
25,2,5,"Equal",2.33435935253029,0.958,2.70748366713459,0.872,2.7799775547915,0.972,3.58879797427648,0.927565392354125,4.06983649618172,0.865191146881288,4.23684005838533,0.949698189134809,500,500,497,497,500
25,2,10,"Early",2.95123278638431,0.934,3.22868669004377,0.868,3.31353972891436,0.966,4.68087422132131,0.928,5.03105664833483,0.868,5.16120865506396,0.954,500,500,500,500,500
25,2,10,"Middle",3.42094987163799,0.965863453815261,3.87204497454473,0.883534136546185,3.97707456410083,0.985943775100402,5.36889807871168,0.965863453815261,5.9677017932192,0.883534136546185,6.12394746148294,0.985943775100402,498,498,498,498,500
25,2,10,"Late",4.89467013354004,0.964,5.65342402452975,0.868,5.849320602916,0.976,7.65195450069379,0.952,8.5428730007609,0.864,8.84893189452121,0.966,500,500,500,500,500
25,2,10,"Equal",3.83406592785989,0.944,4.39290800880173,0.866,4.51877715801151,0.968,6.02412710811866,0.936,6.73291653870771,0.866,6.92695162032158,0.964,500,500,500,500,500
25,5,5,"Early",2.45648850124392,0.947895791583166,2.78158250823652,0.897795591182365,2.87006670066405,0.985971943887776,3.70390330960909,0.92570281124498,4.11094691016258,0.907630522088353,4.30760342924692,0.941767068273092,499,499,498,498,500
25,5,5,"Middle",2.85028107460318,0.923694779116466,3.39988031624738,0.867469879518072,3.5178032559951,0.969879518072289,4.26450549229457,0.918367346938776,5.02666649782454,0.86734693877551,5.26618609912369,0.955102040816327,498,498,490,490,500
25,5,5,"Late",4.11833664380359,0.962,5.05335200361622,0.892,5.26311272819985,0.98,6.18731159327005,0.944329896907216,7.41142160617749,0.888659793814433,7.84688297342307,0.983505154639175,500,500,485,485,500
25,5,5,"Equal",3.29236772539893,0.962,3.92488123076933,0.862,4.09361466226579,0.978,4.92569509601661,0.949290060851927,5.77183438593803,0.86815415821501,6.10398135435385,0.969574036511156,500,500,493,493,500
25,5,10,"Early",3.94088170531556,0.94,4.44070931156606,0.9,4.55033814841942,0.96,6.13521969951033,0.932,6.76182323170109,0.9,6.93798954136829,0.946,500,500,500,500,500
25,5,10,"Middle",4.42530118825906,0.947686116700201,5.13291121727116,0.893360160965795,5.2961300835008,0.979879275653924,6.7978054252332,0.937625754527163,7.71247231742213,0.891348088531187,7.96870535956965,0.967806841046278,497,497,497,497,500
25,5,10,"Late",6.59809776108021,0.942,7.82392695676278,0.882,8.10972214463921,0.976,10.0222791877627,0.931726907630522,11.4496476662844,0.885542168674699,11.9291926040327,0.94578313253012,500,500,498,498,500
25,5,10,"Equal",5.18252919948335,0.946,6.09938471599516,0.886,6.30651542897028,0.962,7.94685266290434,0.939759036144578,9.0905999899928,0.889558232931727,9.42608491106549,0.94578313253012,500,500,498,498,500
50,2,5,"Early",1.23042191543769,0.964,1.2799865203403,0.906,1.3082010321555,0.966,1.89611901940554,0.954,1.95815060381122,0.9,2.01006519900373,0.948,500,500,500,500,500
50,2,5,"Middle",1.44247362296926,0.946,1.52941639870766,0.914,1.56620313430224,0.964,2.20159783274425,0.942,2.31926701366617,0.912,2.3885005805904,0.948,500,500,500,500,500
50,2,5,"Late",1.9272109868743,0.956,2.07615838928345,0.92,2.13270520788459,0.962,2.98234309134041,0.939879759519038,3.14642492502138,0.913827655310621,3.27219782128062,0.933867735470942,500,500,499,499,500
50,2,5,"Equal",1.57057263059466,0.958,1.67611294612926,0.924,1.71639172721375,0.972,2.42938913999921,0.94,2.56098913335011,0.918,2.64265519756811,0.948,500,500,500,500,500
50,2,10,"Early",2.00918330248817,0.94,2.09523898506424,0.906,2.13026901337876,0.954,3.21294641144519,0.946,3.32128790627284,0.904,3.37881371093563,0.944,500,500,500,500,500
50,2,10,"Middle",2.33607265482286,0.953722334004024,2.4641725840464,0.905432595573441,2.52357517738764,0.973843058350101,3.68930699112469,0.949698189134809,3.85825344227022,0.907444668008048,3.94794606249945,0.969818913480885,497,497,497,497,500
50,2,10,"Late",3.2482087459715,0.958,3.48173148538732,0.918,3.56096888261125,0.958,5.14499286386062,0.952,5.41793340177069,0.912,5.54799460416201,0.954,500,500,500,500,500
50,2,10,"Equal",2.60984347252571,0.936,2.75834497143484,0.892,2.82390049496817,0.954,4.14094470999112,0.926,4.32100413633774,0.89,4.42708118434718,0.952,500,500,500,500,500
50,5,5,"Early",1.67182081593955,0.97,1.76843690623929,0.92,1.80813799878859,0.972,2.54140633143732,0.954,2.65733582522902,0.924,2.73928435595939,0.95,500,500,500,500,500
50,5,5,"Middle",1.8871723298568,0.945891783567134,2.05878535181235,0.929859719438878,2.10267245392731,0.961923847695391,2.80105805584885,0.929859719438878,3.02301694109508,0.933867735470942,3.12653444846071,0.933867735470942,499,499,499,499,500
50,5,5,"Late",2.76879224980339,0.946,3.04820898503149,0.886,3.14597310989492,0.958,4.14933042043625,0.934959349593496,4.47029115227125,0.892276422764228,4.69420126707244,0.934959349593496,500,500,492,492,500
50,5,5,"Equal",2.15424357764876,0.946,2.34564894095922,0.904,2.41478707779285,0.968,3.19954989844318,0.92184368737475,3.43235111344432,0.911823647294589,3.58814850064309,0.917835671342685,500,500,499,499,500
50,5,10,"Early",2.73209023520807,0.956,2.86988932445149,0.932,2.93467619085862,0.964,4.29408260396082,0.948,4.45853238156019,0.932,4.56192822807388,0.956,500,500,500,500,500
50,5,10,"Middle",3.14117852979164,0.94578313253012,3.37668531838522,0.895582329317269,3.45596983415181,0.963855421686747,4.85804741369589,0.943775100401606,5.15776121535464,0.895582329317269,5.28782902250541,0.959839357429719,498,498,498,498,500
50,5,10,"Late",4.4583448157162,0.956,4.82089351535838,0.91,4.95539107336526,0.964,6.85508379943578,0.946,7.25313671008997,0.912,7.4800680215363,0.946,500,500,500,500,500
50,5,10,"Equal",3.54110895506287,0.968,3.79537469568052,0.894,3.87996973570512,0.978,5.48541784726889,0.966,5.79581849723198,0.892,5.93203990445269,0.976,500,500,500,500,500
100,2,5,"Early",0.863894919007842,0.956,0.871682254304077,0.924,0.889483908467478,0.956,1.33831713149263,0.954,1.34675520673547,0.932,1.37737277445576,0.954,500,500,500,500,500
100,2,5,"Middle",1.00419368111617,0.948,1.02636405713802,0.914,1.04607534461841,0.95,1.5361037613378,0.942,1.56705394344116,0.922,1.60195074108126,0.95,500,500,500,500,500
100,2,5,"Late",1.32737345025304,0.972,1.36744677553631,0.936,1.39592099742912,0.974,2.07260014327626,0.958,2.11231180348366,0.94,2.16908721690121,0.962,500,500,500,500,500
100,2,5,"Equal",1.09039286285803,0.952,1.11144535175056,0.926,1.13487946451165,0.956,1.68905561248114,0.936,1.71420654898917,0.928,1.75482956983842,0.948,500,500,500,500,500
100,2,10,"Early",1.40501917021371,0.96,1.42474843941984,0.928,1.45289883100485,0.96,2.25913145400498,0.954,2.27817179703804,0.932,2.32488953644996,0.958,500,500,500,500,500
100,2,10,"Middle",1.63512554037886,0.946,1.66269217787205,0.914,1.69177719951685,0.956,2.58866141308937,0.944,2.62203442279395,0.914,2.66635170234309,0.952,500,500,500,500,500
100,2,10,"Late",2.24280227835711,0.932,2.29148171711202,0.924,2.34477079690763,0.96,3.57690154713608,0.93,3.61936665314107,0.92,3.7081064577492,0.954,500,500,500,500,500
100,2,10,"Equal",1.82153960251986,0.954,1.86199878874584,0.934,1.89664235837738,0.954,2.9022277337945,0.948,2.94809636345805,0.936,3.00472602984637,0.95,500,500,500,500,500
100,5,5,"Early",1.15619560710727,0.938,1.18918284790925,0.91,1.21283805374389,0.944,1.76345304679156,0.928,1.80323674601163,0.912,1.84569416758179,0.93,500,500,500,500,500
100,5,5,"Middle",1.31969922536462,0.942,1.36357634361165,0.906,1.39332877044272,0.95,1.97028460887578,0.93,2.02676841518553,0.908,2.08239931441253,0.936,500,500,500,500,500
100,5,5,"Late",1.85963559233246,0.93,1.93693262918939,0.928,1.9860780641969,0.936,2.7637900972005,0.914,2.83611671725873,0.932,2.94504297196317,0.918,500,500,500,500,500
100,5,5,"Equal",1.48875657371521,0.934,1.5376790301476,0.908,1.56951613233108,0.95,2.22946765073871,0.922,2.28018244869023,0.91,2.34588953201684,0.928,500,500,500,500,500
