"m","k","alpha","scheme","C_true","Bias","MSE","AL_ACI","CP_ACI","AL_PB","CP_PB","AL_NB","CP_NB","n_pt","n_ACI","n_boot"
25,2,1,"Early",0.487417578470044,0.029646279367386,0.0172010759023178,0.487452583312705,0.95,0.518823329101108,0.896,0.532447542410835,0.982,2000,500,500
25,2,1,"Middle",0.487417578470044,0.0516258205453624,0.0241866393424405,0.532817537598735,0.948,0.585594261355665,0.876,0.599719414786776,0.968,2000,500,500
25,2,1,"Late",0.487417578470044,0.066958906410745,0.0388311616742764,0.68786693675617,0.96,0.784679171739682,0.894,0.806467038052828,0.978,2000,500,500
25,2,1,"Equal",0.487417578470044,0.0506817952124188,0.0271564000020443,0.587128340301993,0.952,0.653602281896915,0.852,0.668212063291045,0.984,2000,500,500
25,2,2,"Early",0.755777370124286,0.0454911080792624,0.0270752171100364,0.585606200942687,0.962,0.629468743560893,0.896,0.642744772393036,0.968,2000,500,500
25,2,2,"Middle",0.755777370124286,0.0593102319314313,0.0371627279362095,0.647651023231437,0.94,0.713784557210114,0.884,0.7294635374474,0.978,2000,500,500
25,2,2,"Late",0.755777370124286,0.0867448542074727,0.0685183031463073,0.873958968870855,0.942,0.983854942814762,0.864,1.0115648117849,0.97,2000,500,500
25,2,2,"Equal",0.755777370124286,0.0716693717908566,0.0445169739551261,0.722128416613613,0.94,0.799877944255271,0.878,0.820039318616386,0.97,2000,500,500
25,5,1,"Early",0.487417578470044,0.0489693109693278,0.0280710083391236,0.57955206329846,0.946,0.629318275751005,0.896,0.645051580023595,0.962,2000,500,500
25,5,1,"Middle",0.487417578470044,0.0586440485204417,0.0356715668796901,0.645837998582063,0.946,0.719935781471077,0.854,0.737186442648559,0.976,2000,500,500
25,5,1,"Late",0.487417578470044,0.0936964836057879,0.0638106419947369,0.864865287690269,0.95,0.980201926704315,0.88,1.01380410336117,0.96,2000,500,500
25,5,1,"Equal",0.487417578470044,0.0673705678504235,0.0451368918620549,0.735401589234582,0.944,0.822316412279452,0.858,0.844243600298066,0.966,2000,500,500
25,5,2,"Early",0.755777370124286,0.0458501891710453,0.0376997527157733,0.707231693992367,0.952,0.765303678252886,0.9,0.78027111857249,0.976,2000,500,500
25,5,2,"Middle",0.755777370124286,0.0660035990651021,0.0467824288544851,0.760140527944234,0.944,0.841128455210363,0.886,0.85943725966731,0.96,2000,500,500
25,5,2,"Late",0.755777370124286,0.102590068745049,0.0969362541138263,1.06761260231063,0.932,1.19929307225709,0.878,1.23268298992575,0.952,2000,500,500
25,5,2,"Equal",0.755777370124286,0.0868001826208897,0.0653375630344503,0.882323407273957,0.954,0.982317053556246,0.894,1.00836859494519,0.982,2000,500,500
50,2,1,"Early",0.487417578470044,0.0168820566161646,0.00779095226650709,0.332359905428427,0.94,0.339555546431884,0.916,0.346711757162168,0.956,2000,500,500
50,2,1,"Middle",0.487417578470044,0.0240206671145776,0.0102400396375705,0.370795984993292,0.962,0.385083724482272,0.914,0.39300365135343,0.964,2000,500,500
50,2,1,"Late",0.487417578470044,0.0331089206178764,0.016176699019008,0.463798173955609,0.954,0.488437507048549,0.918,0.498405757851135,0.952,2000,500,500
50,2,1,"Equal",0.487417578470044,0.0217900711148907,0.0117301933187921,0.397481298647816,0.938,0.413785193565588,0.926,0.422044371749018,0.948,2000,500,500
50,2,2,"Early",0.755777370124286,0.021674743205894,0.0119736242685421,0.411318188853772,0.958,0.422455974949752,0.944,0.430425853856527,0.964,2000,500,500
50,2,2,"Middle",0.755777370124286,0.0289062359008138,0.0151583538189714,0.448330254904527,0.95,0.468945941147262,0.932,0.478349770722798,0.956,2000,500,500
50,2,2,"Late",0.755777370124286,0.036887689519257,0.0259364970308021,0.596138789490758,0.942,0.62636759320722,0.894,0.641112459658645,0.966,2000,500,500
50,2,2,"Equal",0.755777370124286,0.0290614168328828,0.017385621010523,0.496071525861325,0.96,0.517574266508837,0.894,0.527579120176647,0.964,2000,500,500
50,5,1,"Early",0.487417578470044,0.0229292004111378,0.0119214700969287,0.402916083784151,0.95,0.415417177399345,0.922,0.423760647058954,0.956,2000,500,500
50,5,1,"Middle",0.487417578470044,0.0238121075834459,0.0138925717820852,0.444586653010498,0.948,0.465099134618947,0.916,0.474601605529446,0.96,2000,500,500
50,5,1,"Late",0.487417578470044,0.0426547921736699,0.0250015386078102,0.59109916935334,0.97,0.624578485761624,0.914,0.640890814673687,0.966,2000,500,500
50,5,1,"Equal",0.487417578470044,0.0322551562774156,0.0173766061692014,0.489112275899644,0.942,0.512186812452594,0.912,0.524305477025685,0.958,2000,500,500
50,5,2,"Early",0.755777370124286,0.0297157267506895,0.0183113720578197,0.495001253260494,0.948,0.512018308487121,0.916,0.521323535475707,0.954,2000,500,500
50,5,2,"Middle",0.755777370124286,0.0342016497808354,0.0210490723651697,0.538450922062305,0.942,0.564129271043756,0.888,0.574634869601779,0.948,2000,500,500
50,5,2,"Late",0.755777370124286,0.059354448036772,0.0410000700574686,0.729726925924404,0.938,0.766020903579925,0.914,0.783144434106765,0.956,2000,500,500
50,5,2,"Equal",0.755777370124286,0.0388973498881535,0.0281304306642625,0.599019244346422,0.954,0.624611945807389,0.912,0.637014407705766,0.97,2000,500,500
